mes_ref;indice;inicio_coleta;fim_coleta;data_divulgacao
jan/12;ipca15;14/12/2011;13/01/2012;24/01/2012
fev/12;ipca15;14/01/2012;10/02/2012;17/02/2012
mar/12;ipca15;11/02/2012;14/03/2012;22/03/2012
abr/12;ipca15;15/03/2012;13/04/2012;24/04/2012
mai/12;ipca15;14/04/2012;14/05/2012;22/05/2012
jun/12;ipca15;15/05/2012;13/06/2012;21/06/2012
jul/12;ipca15;14/06/2012;13/07/2012;20/07/2012
ago/12;ipca15;14/07/2012;13/08/2012;22/08/2012
set/12;ipca15;14/08/2012;12/09/2012;20/09/2012
out/12;ipca15;13/09/2012;11/10/2012;19/10/2012
nov/12;ipca15;12/10/2012;13/11/2012;22/11/2012
dez/12;ipca15;14/11/2012;11/12/2012;19/12/2012
jan/12;ipca/inpc;29/12/2011;27/01/2012;10/02/2012
fev/12;ipca/inpc;28/01/2012;29/02/2012;09/03/2012
mar/12;ipca/inpc;01/03/2012;28/03/2012;05/04/2012
abr/12;ipca/inpc;29/03/2012;27/04/2012;09/05/2012
mai/12;ipca/inpc;28/04/2012;28/05/2012;06/06/2012
jun/12;ipca/inpc;29/05/2012;28/06/2012;06/07/2012
jul/12;ipca/inpc;29/06/2012;27/07/2012;08/08/2012
ago/12;ipca/inpc;28/07/2012;27/08/2012;05/09/2012
set/12;ipca/inpc;28/08/2012;27/09/2012;05/10/2012
out/12;ipca/inpc;28/09/2012;29/10/2012;07/11/2012
nov/12;ipca/inpc;30/10/2012;28/11/2012;07/12/2012
dez/12;ipca/inpc;29/11/2012;28/12/2012;10/01/2013
jan/13;ipca15;12/12/2012;15/01/2013;23/01/2013
fev/13;ipca15;16/01/2013;14/02/2013;22/02/2013
mar/13;ipca15;15/02/2013;14/03/2013;22/03/2013
abr/13;ipca15;15/03/2013;12/04/2013;19/04/2013
mai/13;ipca15;13/04/2013;14/05/2013;22/05/2013
jun/13;ipca15;15/05/2013;13/06/2013;21/06/2013
jul/13;ipca15;14/06/2013;12/07/2013;19/07/2013
ago/13;ipca15;13/07/2013;13/08/2013;21/08/2013
set/13;ipca15;14/08/2013;12/09/2013;20/09/2013
out/13;ipca15;13/09/2013;11/10/2013;18/10/2013
nov/13;ipca15;12/10/2013;11/11/2013;19/11/2013
dez/13;ipca15;12/11/2013;12/12/2013;19/12/2013
jan/13;ipca/inpc;29/12/2012;29/01/2013;07/02/2013
fev/13;ipca/inpc;30/01/2013;27/02/2013;08/03/2013
mar/13;ipca/inpc;28/02/2013;28/03/2013;10/04/2013
abr/13;ipca/inpc;29/03/2013;26/04/2013;08/05/2013
mai/13;ipca/inpc;27/04/2013;28/05/2013;07/06/2013
jun/13;ipca/inpc;29/05/2013;28/06/2013;05/07/2013
jul/13;ipca/inpc;29/06/2013;29/07/2013;07/08/2013
ago/13;ipca/inpc;30/07/2013;28/08/2013;06/09/2013
set/13;ipca/inpc;29/08/2013;30/09/2013;09/10/2013
out/13;ipca/inpc;01/10/2013;29/10/2013;07/11/2013
nov/13;ipca/inpc;30/10/2013;27/11/2013;06/12/2013
dez/13;ipca/inpc;28/11/2013;30/12/2013;10/01/2014
jan/14;ipca15;13/12/2013;15/01/2014;23/01/2014
fev/14;ipca15;16/01/2014;13/02/2014;21/02/2014
mar/14;ipca15;14/02/2014;14/03/2014;21/03/2014
